ID,Project ID,Controller,Module,IOChannel,SoftwareTag,PointDescription,InstallCheck1,InstallCheck2,InstallCheck3,CommCheck1,CommCheck2,Notes
521713,34,MSB2Tunnel Drainage System B-PM,NA,PF,MSB2Tunnel Drainage System B-PM_PF,Power Factor,Pass,Pass,Pass,Pass,Pass,
521714,34,MSB2Tunnel Drainage System B-PM,NA,Ptot,MSB2Tunnel Drainage System B-PM_Ptot,Total Power (kW),Pass,Pass,Pass,Pass,Pass,
521715,34,MSB2Tunnel Drainage System B-PM,NA,RectiveEngy,MSB2Tunnel Drainage System B-PM_RectiveEngy,Reactive Energy kVarh,Pass,Pass,Pass,Pass,Pass,
521716,34,MSB2Tunnel Drainage System B-PM,NA,Vab,MSB2Tunnel Drainage System B-PM_Vab,Phase-Phase A-B Voltage,Pass,Pass,Pass,Pass,Pass,
521717,34,MSB2Tunnel Drainage System B-PM,NA,Van,MSB2Tunnel Drainage System B-PM_Van,Phase-Neutral A-N Voltage,Pass,Pass,Pass,Pass,Pass,
521718,34,MSB2Tunnel Drainage System B-PM,NA,Vbc,MSB2Tunnel Drainage System B-PM_Vbc,Phase-Phase B-C Voltage,Pass,Pass,Pass,Pass,Pass,
521719,34,MSB2Tunnel Drainage System B-PM,NA,Vbn,MSB2Tunnel Drainage System B-PM_Vbn,Phase-Neutral B-N Voltage,Pass,Pass,Pass,Pass,Pass,
521720,34,MSB2Tunnel Drainage System B-PM,NA,Vca,MSB2Tunnel Drainage System B-PM_Vca,Phase-Phase C-A Voltage,Pass,Pass,Pass,Pass,Pass,
521721,34,MSB2Tunnel Drainage System B-PM,NA,Vcn,MSB2Tunnel Drainage System B-PM_Vcn,Phase-Neutral C-N Voltage,Pass,Pass,Pass,Pass,Pass,
521722,34,"MSB3Battery Charger Rm 400C
-CB",LV Gateway,CbSts,"MSB3Battery Charger Rm 400C
-CB_CbSts",Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
521723,34,"MSB3Battery Charger Rm 400C
-CB",LV Gateway,CbTrip,"MSB3Battery Charger Rm 400C
-CB_CbTrip",Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
521724,34,MSB3BEL Charger Tx-CB,LV Gateway,CbSts,MSB3BEL Charger Tx-CB_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
521725,34,MSB3BEL Charger Tx-CB,LV Gateway,CbTrip,MSB3BEL Charger Tx-CB_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
469852,34,MSB3BELChargerTx-CB,LV Gateway,CbSts,MSB3BELChargerTx-CB_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
469853,34,MSB3BELChargerTx-CB,LV Gateway,CbTrip,MSB3BELChargerTx-CB_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
521726,34,MSB3CH-MB-CL-01-CB,LV Gateway,CbSts,MSB3CH-MB-CL-01-CB_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
521727,34,MSB3CH-MB-CL-01-CB,LV Gateway,CbTrip,MSB3CH-MB-CL-01-CB_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
521728,34,MSB3CH-MB-CL-01-PM,NA,ActiveEngy,MSB3CH-MB-CL-01-PM_ActiveEngy,Active Energy kWh,Pass,Pass,Pass,Pass,Pass,
521729,34,MSB3CH-MB-CL-01-PM,NA,Ib,MSB3CH-MB-CL-01-PM_Ib,Phase B Current Amps,Pass,Pass,Pass,Pass,Pass,
521730,34,MSB3CH-MB-CL-01-PM,NA,Ic,MSB3CH-MB-CL-01-PM_Ic,Phase C Current Amps,Pass,Pass,Pass,Pass,Pass,
521731,34,MSB3CH-MB-CL-01-PM,NA,la,MSB3CH-MB-CL-01-PM_la,Phase A Current Amps,Pass,Pass,Pass,Pass,Pass,
521732,34,MSB3CH-MB-CL-01-PM,NA,PF,MSB3CH-MB-CL-01-PM_PF,Power Factor,Pass,Pass,Pass,Pass,Pass,
521733,34,MSB3CH-MB-CL-01-PM,NA,Ptot,MSB3CH-MB-CL-01-PM_Ptot,Total Power (kW),Pass,Pass,Pass,Pass,Pass,
521734,34,MSB3CH-MB-CL-01-PM,NA,RectiveEngy,MSB3CH-MB-CL-01-PM_RectiveEngy,Reactive Energy kVarh,Pass,Pass,Pass,Pass,Pass,
521735,34,MSB3CH-MB-CL-01-PM,NA,Vab,MSB3CH-MB-CL-01-PM_Vab,Phase-Phase A-B Voltage,Pass,Pass,Pass,Pass,Pass,
